Mean_RNA FISH	Mean err_RNA FISH	Noise_RNA FISH	Noise err_RNA FISH	Fano_RNA FISH	Fano err_RNA FISH	Mean_Fixed protein	Mean err_Fixed protein	Noise_Fixed protein	Noise err_Fixed protein	Correlation_RNA and Protein	Correlation err_RNA and Protein	Mean_RNAseq
0.59955	0.07278	3.8375	0.56636	2.3008	0.25115	2488.8	91.57	0.28453	0.04383	0.05643	0.0561	0.293496622
0.59154	0.07843	3.1631	0.56288	1.8711	0.25196	278.53	8.0924	0.1678	0.01689	0.09319	0.06982	0.413186813
0.58741	0.02372	2.3332	0.10214	1.3705	0.0466	511.13	4.0495	0.12681	0.00404	-0.02608	0.0222	0.237560193
0.5837	0.01466	2.4743	0.08634	1.4443	0.03807	947.24	4.2783	0.08269	0.00202	0.0078	0.01641	0.147313692
0.55585	0.0423	2.2801	0.24344	1.2674	0.07589	681.37	31.669	1.0453	0.14328	0.02289	0.04572	0.721311475
0.5422	0.07111	2.5018	0.4916	1.3565	0.19624	185.01	5.8788	0.12747	0.01988	-0.06572	0.08417	0.217534608
0.5194	0.06747	2.3589	0.41607	1.2252	0.11408	231.39	11.314	0.32448	0.04237	0.11946	0.07092	
0.50311	0.04015	4.0022	0.53747	2.0135	0.26624	1089.1	28.739	0.4521	0.02444	0.17449	0.03802	0.123086735
0.49888	0.01658	3.321	0.13379	1.6568	0.05642	1335.2	7.4456	0.08264	0.005	-0.00604	0.02167	0.566285998
0.48273	0.01589	2.8692	0.11124	1.3851	0.03661	1785.2	9.196	0.0863	0.00256	0.0011	0.01786	0.375802998
0.46555	0.05898	2.9598	0.49829	1.3779	0.14225	179.9	5.6256	0.16529	0.0237	0.00976	0.07613	0.108346095
0.44954	0.05245	3.5836	0.64628	1.6109	0.19736	333.9	11.038	0.30167	0.05185	-0.00732	0.07635	0.731707317
0.43714	0.0137	4.0883	0.1731	1.7872	0.06468	2224.9	10.654	0.0863	0.00197	-0.03851	0.01762	1.108455882
0.43586	0.09202	4.5228	1.1783	1.9713	0.39489	169.72	6.0579	0.11603	0.02944	0.10217	0.10092	0.127947295
0.42983	0.09439	3.4541	1.0285	1.4847	0.21536	169.36	7.8449	0.15566	0.0505	0.06029	0.08745	0.188247012
0.42501	0.0588	3.6868	0.74076	1.5669	0.20702	16.677	3.2061	5.49	1.4732	0.07745	0.06148	0.243833017
0.39359	0.07692	4.1436	0.93261	1.6309	0.18906	121.9	9.9588	0.70268	0.16589	0.13161	0.09274	
0.39114	0.04643	4.8003	0.72591	1.8776	0.1722	628.95	58.242	2.4738	0.56715	0.02751	0.05748	2.904918033
0.388	0.08385	4.5468	1.1666	1.7642	0.2763	82.478	4.1859	0.21765	0.03168	0.18301	0.10368	0.200361011
0.38656	0.02925	4.2893	0.37668	1.6581	0.10751	100.6	1.7272	0.19045	0.03217	0.03771	0.03453	0.117343173
0.38386	0.01451	4.1162	0.19312	1.58	0.04755	794.93	5.708	0.11255	0.00406	-0.00433	0.02093	1.011171032
